full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,68455,68455,5368,163,163,13,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,49113,49113,6094,85,85,12,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,17342,17342,3667,13,13,0,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28137,28137,2172,10,10,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21048,21048,1959,22,22,3,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,24519,24519,1475,52,52,0,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5773,5773,1450,4,4,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,10921,10921,1145,25,25,1,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,8979,8979,1155,4,4,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7138,7138,494,10,10,-1,https://github.com/frankbria/ralph-claude-code
OneRedOak/claude-code-workflows,3639,3639,538,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5352,5352,454,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4763,4763,685,22,22,0,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,3071,3071,406,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3108,3108,562,4,4,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5286,5286,199,1,1,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3438,3438,320,4,4,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2103,2103,361,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6626,6626,325,4,4,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,72927,72927,7465,136,136,14,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2048,2048,286,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2383,2383,254,1,1,0,https://github.com/Cranot/claude-code-guide
ykdojo/claude-code-tips,3040,3040,220,12,12,0,https://github.com/ykdojo/claude-code-tips
anthropics/claude-code-base-action,580,580,589,0,0,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3430,3430,245,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,29062,29062,3186,19,19,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25549,25549,2435,8,8,2,https://github.com/eyaltoledano/claude-task-master
https-deeplearning-ai/sc-claude-code-files,418,418,573,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-security-review,3076,3076,242,17,17,3,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1210,1210,250,0,0,0,https://github.com/edmund-io/edmunds-claude-code
shanraisshan/claude-code-best-practice,2968,2968,225,16,16,4,https://github.com/shanraisshan/claude-code-best-practice
router-for-me/CLIProxyAPI,11182,11182,1779,20,20,1,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,10873,10873,1219,42,42,0,https://github.com/snarktank/ralph
siteboon/claudecodeui,6393,6393,838,13,13,0,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1460,1460,181,2,2,0,https://github.com/ding113/claude-code-hub
github/spec-kit,71046,71046,6131,79,79,7,https://github.com/github/spec-kit
EveryInc/compound-engineering-plugin,9361,9361,736,15,15,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1217,1217,185,-1,-1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,925,925,210,0,0,1,https://github.com/sugyan/claude-code-webui
RichardAtCT/claude-code-telegram,1414,1414,171,75,75,3,https://github.com/RichardAtCT/claude-code-telegram
ghuntley/claude-code-source-code-deobfuscation,839,839,410,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,13791,13791,2590,134,134,31,https://github.com/sickn33/antigravity-awesome-skills
lst97/claude-code-sub-agents,1422,1422,225,1,1,0,https://github.com/lst97/claude-code-sub-agents
pedrohcgs/claude-code-my-workflow,357,357,412,2,2,6,https://github.com/pedrohcgs/claude-code-my-workflow
nishimoto265/Claude-Code-Communication,491,491,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
carlvellotti/claude-code-pm-course,1436,1436,212,7,7,0,https://github.com/carlvellotti/claude-code-pm-course
centminmod/my-claude-code-setup,1897,1897,179,3,3,0,https://github.com/centminmod/my-claude-code-setup
qwibitai/nanoclaw,10923,10923,1562,383,383,58,https://github.com/qwibitai/nanoclaw
rizethereum/claude-code-requirements-builder,1745,1745,171,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
darcyegb/ClaudeCodeAgents,561,561,48,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
andrepimenta/claude-code-chat,989,989,152,1,1,0,https://github.com/andrepimenta/claude-code-chat
Njengah/claude-code-cheat-sheet,1356,1356,167,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1128,1128,136,0,0,0,https://github.com/steipete/claude-code-mcp
slopus/happy,12909,12909,982,29,29,2,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1166,1166,332,3,3,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
winfunc/opcode,20631,20631,1596,8,8,0,https://github.com/winfunc/opcode
peterkrueck/Claude-Code-Development-Kit,1311,1311,149,2,2,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
bfly123/claude_code_bridge,1246,1246,115,2,2,1,https://github.com/bfly123/claude_code_bridge
catlog22/Claude-Code-Workflow,1313,1313,110,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
cixingguangming55555/wechat-bot,2532,2532,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
JessyTsui/Claude-Code-Remote,1067,1067,118,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,719,719,137,0,0,0,https://github.com/0xfurai/claude-code-subagents
EnzeD/vibe-coding,3945,3945,1305,0,0,0,https://github.com/EnzeD/vibe-coding
anthropics/claude-plugins-official,8037,8037,786,24,24,4,https://github.com/anthropics/claude-plugins-official
